,sample_idx,reference,base_pred,ft_pred,wer_base,cer_base,wer_ft,cer_ft
0,0,before she started to keep her appointment with the solicitors, before she started to keep her appointment with the solicitors., before she started to keep her appointment with the solicitors.,0.1,0.016129032258064516,0.1,0.016129032258064516
1,1,and fancied his countenance was not altogether unknown to me i asked him some questions concerning his family and his country but all the answers i could get were sighs and tears i took pity on him," And fancy it his countenance was not all together unknown to me. I asked him some questions concerning his family and his country, but all the answers I could get were size and tears. I took pity on him."," and fancy it his countenance was now altogether unknown to me. I asked him some questions concerning his family and his country, but all the answers I could get were size and tears. I took pity on him,",0.35135135135135137,0.08629441624365482,0.2972972972972973,0.07614213197969544
2,2,the weirdness in which milly's absence had left them deficient she made it indeed effective for him by suddenly addressing him you know nothing sir but not the least little bit about my friend," the weirdness in which Millie's absence had left them deficient. She made it indeed effective for him by suddenly addressing him. You know nothing, sure, but not the least little bit about my friend.", the weirdness of which millies absence had left them deficient. She made it indeed effective for him by suddenly addressing him. You know nothing sure but not the least little bit about my friend.,0.23529411764705882,0.0625,0.23529411764705882,0.057291666666666664
3,3,you've been jawin like a lot a old hens, You've been joined like a lot of old hands., you've been drawing like a lot of old hands,0.4444444444444444,0.2564102564102564,0.3333333333333333,0.1794871794871795
4,4,let us finally confess it that what is most difficult for us men of the historical sense to grasp feel taste and love what finds us fundamentally prejudiced and almost hostile," Let us finally confess it that what is most difficult for us men of the historical sense to grasp, feel, taste and love, what finds us fundamentally prejudiced and almost hostile"," Let us finally confess it that what is most difficult for us men of the historical sense to grasp, feel, taste and love what finds us fundamentally prejudiced and almost hostile",0.12903225806451613,0.022857142857142857,0.0967741935483871,0.017142857142857144
5,5,and it is owing to her that i am here but what are you doing in this nest i am sitting on six eggs of stone and i shall not be set free till they are hatched, and it is owing to her that I am here. But what are you doing in this nest? I am sitting on six eggs of stone and I shall not be set free till they are hatched., and it is owing to her that I am here. But what are you doing in this nest? I am sitting on six eggs of stone and I shall not be set free till they are hatched.,0.1891891891891892,0.044585987261146494,0.1891891891891892,0.044585987261146494
6,6,the tireless machines marched back and forth across the floor and the men who watched them with suicidal intensity ran after them barefooted when they made off with a broken thread spliced it and then escaped from them to their stations again," The tireless machines march back and forth across the floor, and the men who watched them with suicidal intensity ran after them barefooted when they made off with a broken thread, spliced it, and then escaped from them to their stations again.", The tireless machines march back and forth across the floor and the men who watched them with suicidal intensity ran after them barefooted when they made off with a broken thread spliced it and then escaped from them to their stations again.,0.14285714285714285,0.028925619834710745,0.07142857142857142,0.01652892561983471
7,7,before the middle of the day they were visited by sir john and missus jennings who having heard of the arrival of a gentleman at the cottage came to take a survey of the guest with the assistance of his mother in law sir john was not long in discovering," Before the middle of the day there were visited by Sir John and Mrs. Jennings, who had heard of the arrival of a gentleman at the cottage, came to take a survey of the guests. With the assistance of his mother-in-law, Sir John was not long- and discovering"," Before the middle of the day there were visited by Sir John and Mrs. Jennings, who having heard of the arrival of a gentleman at the cottage, came to take a survey of the guest, with the assistance of his mother-in-law Sir John was not long- and discovering",0.34,0.11067193675889328,0.3,0.08300395256916997
8,8,you appear to be a sensible discreet woman and some who have had opportunities of acquiring more correct views might envy you your respect for knowledge and the lights of science although the housekeeper did not altogether comprehend the other's meaning she knew he used a compliment, You appear to be a sensible discrete woman and some who have had opportunities of acquiring more correct views might envy you your respect for knowledge and the light of science. Although the housekeeper did not altogether comprehend the other's meaning she knew he used a compliment, You appear to be a sensible discrete woman and some who have had opportunities of acquiring more correct views might envy you your respect for knowledge and the light of science. Although the housekeeper did not altogether comprehend the others meaning she knew he used a compliment,0.10638297872340426,0.02120141342756184,0.1276595744680851,0.024734982332155476
9,9,alarmed but not discouraged she tried it another way a bolt flew and she believed herself successful but how strangely mysterious the door was still immovable she paused a moment in breathless wonder, alarmed but not discouraged. She tried it another way. A bolt flew and she believed herself successful but how strangely mysterious the door was still immovable. She paused a moment in breathless wonder.," Alarmed but not discouraged, she tried it another way, a boat flew and she believed herself successful but how strangely mysterious the door was still immuvable she paused a moment in breathless wonder",0.21212121212121213,0.035175879396984924,0.15151515151515152,0.02512562814070352
